"GEOID","GeoName","BD009_2018","BD010_2018","BD011_2018","BD012_2018","BD013_2018","BD014_2018","BD016_2018","BD017_2018","BD018_2018","BD019_2018","BD020_2018","BD021_2018","HC001_2018","HC002_2018","HC003_2018","HC004_2018","HC005_2018","HC006_2018","HC007_2018","HC008_2018","HC009_2018","HC010_2018","HC011_2018","HC012_2018","HC013_2018","HC014_2018","HC015_2018","HC016_2018","HC017_2018","HC018_2018","HC019_2018","HC020_2018","HS001","HS002","HS005","HS006","HS003","HS004","HS007","HS008","HS009","HS010","HS011","HS012","HS013","HS014","HS015","HS016","HS017","MH003_2018","MH004_2018","MH011_2000","MH012_2000","MH013_2000","MH011_2013","MH011_2018","MH012_2013","MH012_2018","MH013_2013","MH013_2018","CB001_2017","CB101_2017","CB201_2017","CB002_2017","CB102_2017","CB202_2017","CB003_2017","CB103_2017","CB203_2017","CB004_2017","CB104_2017","CB204_2017","CB005_2017","CB105_2017","CB205_2017","CB006_2017","CB106_2017","CB206_2017","CB007_2017","CB107_2017","CB207_2017","CB008_2017","CB108_2017","CB208_2017","CB009_2017","CB109_2017","CB209_2017","CB010_2017","CB110_2017","CB210_2017","CB011_2017","CB111_2017","CB211_2017","CB012_2017","CB112_2017","CB212_2017","CB013_2017","CB113_2017","CB213_2017","CB014_2017","CB114_2017","CB214_2017","CB015_2017","CB115_2017","CB215_2017","CB016_2017","CB116_2017","CB216_2017","CB017_2017","CB117_2017","CB217_2017","CB018_2017","CB118_2017","CB218_2017","CB019_2017","CB119_2017","CB219_2017","CB020_2017","CB120_2017","CB220_2017","CB021_2017","CB121_2017","CB221_2017","CB022_2017","CB122_2017","CB222_2017","CB023_2017","CB123_2017","CB223_2017","CB024_2017","CB124_2017","CB224_2017","CB025_2017","CB125_2017","CB225_2017","CB026_2017","CB126_2017","CB226_2017","CB027_2017","CB127_2017","CB227_2017","CB028_2017","CB128_2017","CB228_2017","CB029_2017","CB129_2017","CB229_2017","CB030_2017","CB130_2017","CB230_2017","CB031_2017","CB131_2017","CB231_2017","CB032_2017","CB132_2017","CB232_2017","CB033_2017","CB133_2017","CB034_2017","CB134_2017","CB035_2017","CB135_2017","CB036_2017","CB136_2017","CB037_2017","CB137_2017","CB038_2017","CB138_2017","CB039_2017","CB139_2017","CB040_2017","CB140_2017","CB041_2017","CB141_2017","CB042_2017","CB142_2017","CB043_2017","CB143_2017","CB044_2017","CB144_2017","CB045_2017","CB145_2017","CB046_2017","CB146_2017","CB047_2017","CB147_2017","CB048_2017","CB148_2017","UI001_2017","UI101_2017","UI201_2017","UI002_2017","UI102_2017","UI202_2017","UI003_2017","UI103_2017","UI203_2017","UI004_2017","UI104_2017","UI204_2017","UI005_2017","UI105_2017","UI205_2017","UI006_2017","UI106_2017","UI206_2017","UI007_2017","UI107_2017","UI207_2017","UI008_2017","UI108_2017","UI208_2017","UI009_2017","UI109_2017","UI209_2017","UI010_2017","UI110_2017","UI210_2017","UI011_2017","UI111_2017","UI211_2017","UI012_2017","UI112_2017","UI212_2017","UI013_2017","UI113_2017","UI213_2017","UI014_2017","UI114_2017","UI214_2017","UI015_2017","UI115_2017","UI215_2017","UI016_2017","UI116_2017","UI216_2017","UI017_2017","UI117_2017","UI217_2017","UI018_2017","UI118_2017","UI218_2017","UI019_2017","UI119_2017","UI219_2017","UI020_2017","UI120_2017","UI220_2017","UI021_2017","UI121_2017","UI221_2017","UI022_2017","UI122_2017","UI222_2017","UI023_2017","UI123_2017","UI223_2017","UI024_2017","UI124_2017","UI224_2017","UI025_2017","UI125_2017","UI225_2017","UI026_2017","UI126_2017","UI226_2017","UI027_2017","UI127_2017","UI227_2017","UI028_2017","UI128_2017","UI228_2017","UI029_2017","UI129_2017","UI229_2017","UI030_2017","UI130_2017","UI230_2017","UI031_2017","UI131_2017","UI231_2017","UI032_2017","UI132_2017","UI232_2017","UI033_2017","UI133_2017","UI034_2017","UI134_2017","UI035_2017","UI135_2017","UI036_2017","UI136_2017","UI037_2017","UI137_2017","UI038_2017","UI138_2017","UI039_2017","UI139_2017","UI040_2017","UI140_2017","RW101","RW102","RW103","RW104","RW105","RW106","RW107","RW108","RW109","RW110","RW111","RW112","RW113","RW114","AM005","AM006","AM004","AM002","AM105","AM106","AM104","AM102","CB401_2017","CB402_2017","CB403_2017","CB404_2017","CB405_2017","CB406_2017","CB407_2017","CB408_2017","CB409_2017","CB410_2017","HP_LABEL","HP002","HP003","HP004","HP005","HPflag"
"0900104720","Bethel",7,116,708,2722,1863,268,180,445,535,304,123,0,46,507,180,155,195,150,114,9,279,21,48,493,455,61,321,390,411,239,3228,179,0,102,0,0,0,80,0,0,0,25,84,40,0,0,0,75,0,1,-2,1279,2313,771,1412,1325,2696,2435,995,978,40,4.7,100,485,57.5,82.9,169,20,21.7,150,17.8,3.6,0,0,0,30,8.5,5.1,110,31,14.1,215,60.6,5.1,0,0,0,20,5.1,3.4,145,36.7,18.6,230,58.2,5.5,0,0,0,50,1.2,8.5,355,8.9,45.6,3595,89.9,85.8,14,4.5,100,184,58.8,60.7,100,31.9,23.5,15,4.8,2,0,0,0,105,30.4,34.7,160,46.4,37.6,80,23.2,10.4,0,0,0,4,1.9,1.3,95,44.4,22.4,115,53.7,15,0,0,0,10,1.6,3.3,70,11,16.5,559,87.5,72.7,844,15.1,355,6.3,395,7.1,4000,71.5,313,20.7,345,22.8,214,14.2,639,42.3,40,0.7,585,10.5,779,13.9,4190,74.9,14,0.9,303,20.1,425,28.1,769,50.9,184,22,30.5,160,19.1,21.9,224,26.8,15.5,269,32.1,9.5,115,30.7,19.1,69,18.4,9.5,90,24.1,6.2,100,26.7,3.5,40,10,6.6,95,23.8,13,100,25,6.9,165,41.2,5.8,264,6.6,43.8,405,10.1,55.6,1035,25.9,71.4,2295,57.4,81.1,104,33.1,58.1,95,30.3,25.4,75,23.9,13.6,40,12.7,10,10,2.9,5.6,60,17.4,16,185,53.6,33.6,90,26.1,22.5,0,0,0,80,38.1,21.4,95,45.2,17.3,35,16.7,8.8,65,10.3,36.3,139,21.9,37.2,195,30.8,35.5,235,37.1,58.8,603,10.7,729,13,1449,25.8,2829,50.4,179,11.9,374,24.9,550,36.6,400,26.6,377,1355,1009,825,1517,394,322,240,230,325,575,640,220,345,61000,36600,81500,122000,1525,915,2038,3050,654,140,165,405,284,265,99,80,1364,728,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","8, 25, 47, 63, 54, 42, 47, 86, 92, 66, 62, 47, 74","0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 6","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0",""
"0900108070","Bridgeport",147,1340,6897,8573,3278,879,1564,7794,11183,7053,1325,514,1909,13248,5099,3236,3040,1090,2023,117,2145,33,367,3325,3137,1329,1977,1955,2413,1212,6852,251,2354,3903,161,0,0,1679,390,258,721,0,620,405,0,48,194,19,93,-10.1,12.1,978,1846,744,1162,1157,2176,1952,908,915,155,3,100,3090,60.3,75.3,1050,20.5,23.6,830,16.2,6.7,0,0,0,765,20.7,18.6,1375,37.2,30.9,1560,42.2,12.5,0,0,0,170,6.5,4.1,965,36.9,21.7,1480,56.6,11.9,0,0,0,79,0.8,1.9,1065,11,23.9,8580,88.2,68.9,925,7.5,100,7790,63.2,79.8,1775,14.4,26.8,1830,14.9,15.4,0,0,0,1830,30.2,18.7,3005,49.6,45.4,1225,20.2,10.3,0,0,0,104,2.3,1.1,1540,33.4,23.2,2960,64.3,24.9,0,0,0,39,0.6,0.4,305,4.9,4.6,5875,94.5,49.4,5125,24.2,3700,17.5,2615,12.4,9724,45.9,12320,42.2,6060,20.8,4604,15.8,6219,21.3,155,0.7,4104,19.4,4455,21,12450,58.8,925,3.2,9763,33.4,6625,22.7,11890,40.7,2910,56.7,28.6,1435,28,21.1,414,8.1,16.8,375,7.3,22.4,2015,54.5,19.8,1055,28.6,15.5,335,9.1,13.6,289,7.8,17.3,1410,54.1,13.8,850,32.6,12.5,284,10.9,11.5,60,2.3,3.6,3855,39.7,37.8,3475,35.8,51,1430,14.7,58.1,950,9.8,56.8,3865,31.4,74.3,3330,27,41.8,4025,32.7,31.5,1095,8.9,33.4,615,10.1,11.8,1875,30.9,23.6,3035,50.1,23.7,535,8.8,16.3,340,7.4,6.5,1475,32,18.5,2450,53.2,19.2,340,7.4,10.4,380,6.1,7.3,1280,20.5,16.1,3270,52.4,25.6,1305,20.9,39.8,10190,48.2,6815,32.2,2463,11.6,1674,7.9,5200,17.8,7960,27.2,12780,43.7,3275,11.2,1658,1947,3629,4924,10116,1214,3014,1980,1370,2980,3095,6620,2235,2370,51300,30800,78500,102600,1282,770,1962,2565,4140,2140,1135,1144,9565,4835,1644,344,8559,16388,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","41, 26, 53, 11, 19, 22, 2, 15, 15, 4, 13, 25, 26","36, 36, 10, 0, 2, 0, 14, 4, 2, 10, 10, 8, 16","25, 3, 6, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3","141, 63, 57, 90, 105, 153, 0, 112, 102, 55, 8, 18, 0",""
"0900108980","Brookfield",0,324,732,1843,1827,399,169,303,356,146,91,0,0,292,97,73,57,10,135,16,348,9,23,533,413,106,207,403,236,331,2770,293,0,42,0,0,0,14,0,26,48,0,0,35,0,0,0,77,0,-11.1,-2.9,1379,2498,739,1502,1594,2732,2552,1065,1005,19,2.8,100,464,68,70.9,145,21.3,15.5,54,7.9,1.6,0,0,0,105,25.3,16.1,175,42.2,18.7,135,32.5,3.9,0,0,0,30,7.2,4.6,250,60.2,26.7,135,32.5,3.9,0,0,0,55,1.6,8.4,365,10.4,39,3100,88.1,90.5,80,24.2,100,95,28.8,76.6,70,21.2,38.9,85,25.8,12.1,0,0,0,29,22.5,23.4,90,69.8,50,10,7.8,1.4,0,0,0,0,0,0,0,0,0,20,100,2.8,0,0,0,0,0,0,20,3.3,11.1,590,96.7,83.7,682,13.6,415,8.2,415,8.2,3520,70,330,30.3,129,11.8,20,1.8,610,56,19,0.4,654,13,935,18.6,3424,68,80,7.3,124,11.4,180,16.5,705,64.7,99,14.5,30.6,185,27,28.9,170,24.9,18.4,230,33.6,7.3,55,13.3,17,70,16.9,10.9,40,9.6,4.3,250,60.2,7.9,40,9.6,12.3,150,36.1,23.4,40,9.6,4.3,185,44.6,5.9,130,3.7,40.1,235,6.7,36.7,675,19.2,73,2480,70.5,78.9,150,44.1,78.9,80,23.5,53.3,15,4.4,6.7,95,27.9,17.9,0,0,0,55,44,36.7,50,40,22.2,20,16,3.8,10,50,5.3,0,0,0,10,50,4.4,0,0,0,30,4.9,15.8,15,2.5,10,150,24.6,66.7,415,68,78.3,324,6.4,640,12.7,925,18.4,3145,62.5,190,17.4,150,13.7,225,20.5,530,48.4,613,716,1283,536,1039,712,422,125,220,290,595,370,145,55,61000,36600,81500,122000,1525,915,2038,3050,609,280,280,420,165,119,0,20,1589,304,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","25, 5, 6, 9, 14, 3, 57, 26, 9, 28, 4, 12, 16","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 8, 19, 7, 0, 0, 8, 0, 0","102, 0, 0, 0, 15, 14, 5, 17, 41, 0, 10, 0, 0",""
"0900118500","Danbury",100,474,4841,7088,3932,859,796,3329,5054,2542,596,125,545,3735,1956,1235,970,903,1450,353,2092,52,341,1804,2360,837,1608,1327,1578,822,7423,425,304,740,39,0,97,670,0,0,58,0,481,551,354,19,0,294,0,-8.4,4.7,1193,2171,656,1328,1451,2394,2166,820,801,95,2.6,100,1600,44.4,71.9,1135,31.5,32.7,775,21.5,6.5,0,0,0,525,23.9,23.6,615,28,17.7,1055,48.1,8.9,0,0,0,60,3.1,2.7,740,37.9,21.3,1155,59.1,9.7,0,0,0,39,0.4,1.8,985,9.9,28.3,8920,89.7,74.9,235,6.8,100,2235,64.8,74.7,330,9.6,11.3,650,18.8,11.1,0,0,0,670,27.6,22.4,1375,56.7,47,380,15.7,6.5,0,0,0,85,4.5,2.8,925,49.1,31.6,875,46.4,15,0,0,0,0,0,0,295,7,10.1,3945,93,67.4,3605,20.4,2195,12.4,1955,11,9944,56.2,3450,28.7,2425,20.2,1885,15.7,4240,35.3,95,0.5,2224,12.6,3475,19.6,11905,67.3,235,2,2990,24.9,2925,24.4,5850,48.8,890,24.7,29.3,1099,30.5,31.8,775,21.5,17.7,845,23.4,12.4,495,22.6,16.3,504,23,14.6,515,23.5,11.7,675,30.8,9.9,505,25.8,16.6,310,15.9,9,585,29.9,13.3,555,28.4,8.2,1144,11.5,37.7,1545,15.6,44.7,2515,25.3,57.3,4720,47.6,69.5,1110,32.1,65.1,720,20.8,28.9,1105,31.9,27.6,525,15.2,13.8,230,9.5,13.5,820,33.8,32.9,830,34.2,20.7,545,22.5,14.3,80,4.2,4.7,490,26,19.7,685,36.3,17.1,630,33.4,16.6,285,6.7,16.7,460,10.9,18.5,1390,32.8,34.7,2100,49.6,55.3,3034,17.2,3458,19.6,4390,24.8,6795,38.4,1705,14.2,2490,20.7,4010,33.4,3800,31.7,1301,3956,4584,4307,6068,1270,1440,1530,2130,4205,4220,4520,1855,1210,61000,36600,81500,122000,1525,915,2038,3050,2735,1140,800,1024,2565,2045,1010,295,5699,5915,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","236, 61, 74, 119, 103, 104, 88, 201, 69, 57, 120, 80, 90","4, 0, 18, 0, 0, 0, 6, 6, 0, 2, 6, 2, 2","7, 0, 7, 9, 0, 0, 6, 0, 3, 3, 9, 3, 6","43, 28, 160, 0, 0, 292, 210, 110, 479, 20, 20, 41, 8",""
"0900118850","Darien",9,58,192,1267,2546,1776,74,270,213,248,161,44,11,199,71,47,46,108,18,28,341,149,20,339,199,92,120,188,129,237,3819,817,0,10,0,0,0,0,0,0,0,0,0,30,0,0,0,104,0,-1.6,8.8,1868,4513,1137,2159,2801,4316,4001,1080,1501,10,1.6,100,440,69.3,65.3,125,19.7,14,60,9.4,1.4,0,0,0,20,13.9,3,64,44.4,7.2,60,41.7,1.4,0,0,0,80,28.6,11.9,95,33.9,10.6,105,37.5,2.5,0,0,0,134,2.9,19.9,610,13.1,68.2,3915,84,94.6,0,0,NA,200,85.1,74.3,25,10.6,11.7,10,4.3,2,0,0,NA,59,52.7,21.9,35,31.2,16.4,18,16.1,3.6,0,0,NA,0,0,0,0,0,0,50,100,9.9,0,0,NA,10,1.7,3.7,154,26.1,72,425,72.2,84.5,635,11.1,144,2.5,280,4.9,4659,81.5,235,23.8,112,11.4,50,5.1,589,59.7,10,0.2,674,11.8,894,15.6,4140,72.4,0,0,269,27.3,214,21.7,503,51,30,4.7,20.7,0,0,0,20,3.1,66.7,585,92.1,10.6,0,0,0,0,0,0,0,0,0,140,100,2.5,10,3.5,6.9,0,0,0,0,0,0,275,96.5,5,105,2.3,72.4,45,1,100,10,0.2,33.3,4494,96.6,81.8,39,17.1,35.8,4,1.8,9.5,40,17.5,28.6,145,63.6,20.9,20,16.8,18.3,4,3.4,9.5,35,29.4,25,60,50.4,8.6,15,33.3,13.8,20,44.4,47.6,10,22.2,7.1,0,0,0,35,5.9,32.1,14,2.4,33.3,55,9.3,39.3,490,82.5,70.5,145,2.5,45,0.8,30,0.5,5494,96.1,109,11.1,42,4.3,140,14.2,695,70.5,609,118,1384,1422,1387,1215,456,55,65,445,780,565,185,125,71700,43000,95000,143400,1792,1075,2375,3585,565,84,175,744,225,94,0,164,1568,483,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","55, 32, 20, 18, 24, 34, 80, 56, 48, 30, 35, 24, 41","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 40, 16, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 32, 0, 16, 0, 0, 0, 0",""
"0900123890","Easton",0,32,135,796,1274,428,0,13,0,70,57,0,0,9,0,0,0,0,36,9,57,8,0,213,179,62,78,182,61,188,1399,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,-22,-1.7,2666,3729,1027,2159,2227,4316,3887,1080,1484,25,8.8,100,240,84.2,50,20,7,3.2,0,0,0,0,0,0,100,29.4,20.8,155,45.6,24.6,85,25,5.7,0,0,0,10,41.7,2.1,0,0,0,14,58.3,0.9,0,0,0,130,6.6,27.1,455,23.1,72.2,1385,70.3,93.3,10,25,100,30,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,4,0,0,0,10,100,25,0,0,0,0,0,0,0,0,0,0,0,0,4,4,100,95,96,96,285,10.9,340,13,24,0.9,1970,75.2,40,26.1,4,2.6,10,6.5,99,64.7,25,1,480,18.3,630,24.1,1484,56.7,10,6.5,40,26.1,4,2.6,99,64.7,40,14,57.1,0,0,0,25,8.8,45.5,220,77.2,8.9,10,3,14.3,10,3,40,0,0,0,315,94,12.8,0,0,0,0,0,0,0,0,0,24,100,1,20,1,28.6,15,0.8,60,30,1.5,54.5,1905,96.7,77.3,30,75,88.2,0,0,NA,10,25,18.2,0,0,0,4,100,11.8,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,10,100,16.9,0,0,0,0,0,NA,45,47.9,81.8,49,52.1,83.1,70,2.7,25,1,55,2.1,2464,94.3,34,23,0,0,55,37.2,59,39.9,84,15,20,198,263,70,59,160,55,100,405,60,35,50,51300,30800,78500,102600,1282,770,1962,2565,260,255,10,585,30,0,10,4,1110,44,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","5, 5, 4, 2, 2, 3, 8, 5, 5, 6, 7, 8, 1","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",""
"09001","Fairfield County",819,7682,40277,85969,68625,25797,6885,31120,40715,24067,6480,2055,4987,34139,16819,8801,7921,8713,8309,2550,22608,1399,2025,21906,18987,7032,11898,15209,14664,10827,119497,15915,4402,8933,245,0,683,4935,1424,729,2177,136,2042,2796,1715,92,485,3000,555,-2.3,0.2,1222,2776,865,1405,1470,3020,2771,1080,1116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","1438, 713, 476, 546, 583, 634, 870, 987, 800, 712, 765, 753, 635","86, 40, 34, 28, 16, 10, 30, 38, 20, 44, 44, 30, 40","39, 10, 25, 45, 18, 54, 54, 62, 11, 19, 35, 27, 20","727, 1051, 664, 307, 320, 1440, 1547, 802, 1767, 1128, 875, 287, 1631",""
"0900126620","Fairfield",12,241,2436,6844,5866,1799,101,480,1288,968,485,75,38,664,451,266,126,502,176,71,1146,49,102,1447,1006,371,649,1094,781,751,10057,1322,0,177,10,0,0,172,70,0,50,0,77,157,0,0,0,126,0,10.5,6.2,1563,3099,900,1650,1908,3558,3329,1080,1298,78,4.2,100,1265,68.7,55.1,299,16.2,11.3,200,10.9,1.7,0,0,0,440,33.2,19.2,450,34,17,435,32.8,3.7,0,0,0,234,21.8,10.2,460,42.8,17.4,380,35.4,3.2,0,0,0,355,2.8,15.5,1435,11.4,54.3,10845,85.8,91.4,45,6.2,100,490,67.9,52.7,39,5.4,5.5,148,20.5,8.2,0,0,0,270,70.1,29,70,18.2,9.8,45,11.7,2.5,0,0,0,120,23.6,12.9,305,59.9,42.8,84,16.5,4.6,0,0,0,50,2.7,5.4,299,15.9,41.9,1534,81.5,84.7,1842,10.9,1325,7.9,1074,6.4,12635,74.9,722,20.6,385,11,509,14.5,1883,53.8,78,0.5,2294,13.6,2644,15.7,11860,70.3,45,1.3,930,26.6,713,20.4,1811,51.8,80,4.3,16.8,95,5.1,22.4,175,9.5,16.4,1495,81,10,65,4.9,13.7,40,3,9.4,185,14,17.3,1030,78,6.9,50,4.7,10.5,60,5.6,14.1,95,8.8,8.9,869,80.9,5.8,280,2.2,58.9,230,1.8,54.1,614,4.9,57.4,11499,91.1,77.2,200,27.4,58,70,9.6,30.6,215,29.5,22.4,245,33.6,12.4,30,7.9,8.7,35,9.2,15.3,200,52.8,20.8,114,30.1,5.8,25,5,7.2,55,10.9,24,160,31.7,16.7,265,52.5,13.5,90,4.8,26.1,69,3.7,30.1,385,20.4,40.1,1344,71.2,68.3,475,2.8,425,2.5,1069,6.3,14893,88.3,345,9.9,229,6.5,960,27.4,1968,56.2,1127,1065,2883,4197,6671,1998,1350,350,460,1090,2960,2250,895,640,51300,30800,78500,102600,1282,770,1962,2565,1564,890,694,1790,529,340,425,349,4938,1643,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","95, 58, 30, 31, 44, 50, 98, 103, 81, 70, 66, 60, 38","0, 0, 0, 6, 4, 0, 2, 8, 4, 16, 10, 14, 8","0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 3, 4","0, 0, 0, 0, 0, 0, 54, 0, 13, 165, 29, 0, 182",""
"0900133620","Greenwich",44,392,1670,3732,4340,4423,319,1923,2457,1761,760,430,314,1602,879,312,251,561,362,321,2731,279,106,1069,913,267,324,528,549,511,9093,1530,327,375,0,0,0,93,40,10,18,0,128,162,324,0,0,32,0,-1.2,-19.4,1928,4878,1191,1933,1906,4316,4001,1080,1501,125,5.2,100,1495,61.9,65,365,15.1,19.3,429,17.8,4.1,0,0,0,140,30.1,6.1,155,33.3,8.2,170,36.6,1.6,0,0,0,180,24.7,7.8,135,18.5,7.1,415,56.8,3.9,0,0,0,485,4.3,21.1,1235,11,65.3,9540,84.7,90.4,139,6.7,100,1190,57.2,69.1,310,14.9,21.4,440,21.2,10.7,0,0,0,445,38.5,25.8,355,30.7,24.5,355,30.7,8.6,0,0,0,34,7,2,255,52.7,17.6,195,40.3,4.7,0,0,0,54,1.5,3.1,530,14.3,36.6,3120,84.2,75.9,2414,16.2,465,3.1,730,4.9,11260,75.7,2079,28,1155,15.6,484,6.5,3704,49.9,125,0.8,2300,15.5,1890,12.7,10554,71,139,1.9,1723,23.2,1450,19.5,4110,55.4,189,7.8,31.9,50,2.1,30.3,100,4.1,33.3,2075,86,15,40,8.5,6.8,0,0,0,15,3.2,5,418,88.4,3,50,6.8,8.4,0,0,0,15,2,5,670,91.2,4.8,313,2.8,52.9,115,1,69.7,170,1.5,56.7,10675,94.7,77.1,705,33.9,54.1,515,24.8,37.7,295,14.2,27.4,565,27.2,15.3,290,25,22.2,210,18.1,15.4,225,19.4,20.9,435,37.5,11.8,34,7.1,2.6,155,32.4,11.4,45,9.4,4.2,245,51.1,6.6,275,7.4,21.1,485,13.1,35.5,510,13.7,47.4,2440,65.8,66.2,592,4,165,1.1,300,2,13838,92.9,1304,17.6,1365,18.4,1075,14.5,3685,49.6,1215,389,1882,5075,3885,1713,1491,635,275,1475,3730,2200,915,1080,71700,43000,95000,143400,1792,1075,2375,3585,1860,295,315,1720,1500,800,289,584,4190,3173,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","191, 123, 94, 64, 59, 62, 110, 115, 138, 128, 151, 136, 114","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 99, 23, 45",""
"0900148620","Monroe",0,216,685,2582,2330,329,29,180,221,60,71,0,17,148,155,54,0,54,0,0,109,20,60,736,352,58,306,149,341,352,3318,581,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,8,0,-7.2,-5.5,1366,2685,825,2010,1341,3039,2705,1062,1072,4,0.4,100,770,75.2,81.9,205,20,17.3,45,4.4,1.1,0,0,0,125,35.2,13.3,85,23.9,7.2,145,40.8,3.6,0,0,0,45,9.2,4.8,155,31.6,13.1,290,59.2,7.1,0,0,0,0,0,0,740,17.1,62.4,3580,82.9,88.2,15,7.3,100,105,51.2,55.3,70,34.1,38.9,15,7.3,5.3,0,0,0,60,57.1,31.6,35,33.3,19.4,10,9.5,3.5,0,0,0,25,45.5,13.2,0,0,0,30,54.5,10.5,0,0,0,0,0,0,75,24.6,41.7,230,75.4,80.7,1024,16.5,355,5.7,490,7.9,4320,69.8,205,30.6,105,15.7,55,8.2,305,45.5,4,0.1,940,15.2,1185,19.1,4060,65.6,15,2.2,190,28.4,180,26.9,285,42.5,60,5.8,24.5,280,27.2,29.5,200,19.4,16.4,490,47.6,13,20,5.6,8.2,90,25.4,9.5,85,23.9,7,160,45.1,4.2,25,5.2,10.2,65,13.6,6.8,129,26.9,10.6,260,54.3,6.9,140,3.2,57.1,515,11.9,54.2,805,18.7,66,2855,66.2,75.8,80,40,47.1,80,40,80,0,0,0,40,20,14.5,10,9.5,5.9,20,19,20,0,0,0,75,71.4,27.3,30,54.5,17.6,0,0,0,0,0,0,25,45.5,9.1,50,16.4,29.4,0,0,0,120,39.3,100,135,44.3,49.1,245,4,950,15.4,1219,19.7,3765,60.9,170,25.6,100,15,120,18,275,41.4,468,433,825,543,685,525,425,150,145,455,625,465,225,125,51300,30800,78500,102600,1282,770,1962,2565,975,210,200,740,175,95,25,75,2125,370,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","20, 16, 3, 6, 7, 4, 16, 3, 5, 10, 17, 8, 9","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",""
