GEOID,Locality,POP001v00,POP001v11,POP001c11,POP001pc11,POP001v21,POP001c21,POP001pc21,HHS000v21,HHS000p21,HHS001v21,HHS001p21,HHS002v21,HHS002p21,HHS003v21,HHS003p21,HHS004v21,HHS004p21,HHS005v21,HHS005p21,AGE001v21,AGE001p21,AGE002v21,AGE002p21,AGE003v21,AGE003p21,AGE004v21,AGE004p21,AGE005v21,AGE005p21,AGE006v21,AGE006p21,AGE007v21,AGE007p21,AGE008v21,AGE008p21,AGE009v21,AGE009p21,AGB001v11,AGB001p11,AGC001v11,AGC001p11,AGB001v21,AGB001p21,AGC001v21,AGC001p21
09005,Litchfield County,182193,189719,-7526,-4.1,185175,4544,2.4,74857,100,21306,28.5,24195,32.3,19975,26.7,4798,6.4,4583,6.1,16845,9.1,20665,11.2,19371,10.5,20705,11.2,21050,11.4,29766,16.1,29766,16.1,17328,9.4,9679,5.2,23947,31.3,21105,27.6,18598,24.8,27685,37
0900502760,Barkhamsted,3494,3783,-289,-8.3,3659,124,3.3,1341,100,163,12.2,621,46.3,473,35.3,60,4.5,24,1.8,240,6.6,564,15.4,287,7.8,248,6.8,500,13.7,660,18,602,16.5,460,12.6,98,2.7,502,34.8,348,24.1,451,33.6,546,40.7
0900504930,Bethlehem,3422,3596,-174,-5.1,3408,188,5.2,1340,100,422,31.5,491,36.6,276,20.6,126,9.4,25,1.9,233,6.8,583,17.1,299,8.8,223,6.5,342,10,561,16.5,745,21.9,284,8.3,138,4,418,29.8,468,33.4,315,23.5,469,35
0900508210,Bridgewater,1824,1790,34,1.9,1824,-34,-1.9,723,100,143,19.8,286,39.6,224,31,28,3.9,42,5.8,102,5.6,170,9.3,139,7.6,114,6.2,216,11.8,309,16.9,292,16,363,19.9,119,6.5,176,23.4,285,37.8,148,20.5,369,51
0900510940,Canaan,1081,1183,-102,-9.4,1223,-40,-3.4,553,100,136,24.6,181,32.7,167,30.2,10,1.8,59,10.7,93,7.6,94,7.7,119,9.7,115,9.4,89,7.3,293,24,253,20.7,117,9.6,50,4.1,108,18.2,211,35.5,92,16.6,202,36.5
0900516050,Colebrook,1471,1395,76,5.2,1422,-27,-1.9,598,100,147,24.6,214,35.8,158,26.4,14,2.3,65,10.9,132,9.3,136,9.6,141,9.9,114,8,179,12.6,306,21.5,245,17.2,106,7.5,63,4.4,179,31.5,156,27.4,149,24.9,188,31.4
0900517240,Cornwall,1434,1469,-35,-2.4,1379,90,6.1,629,100,173,27.5,277,44,121,19.2,20,3.2,38,6,101,7.3,137,9.9,84,6.1,88,6.4,118,8.6,286,20.7,307,22.3,172,12.5,86,6.2,188,30.4,201,32.5,104,16.5,288,45.8
0900532290,Goshen,2697,2957,-260,-9.6,3139,-182,-6.2,1152,100,280,24.3,420,36.5,327,28.4,111,9.6,14,1.2,324,10.3,287,9.1,364,11.6,430,13.7,266,8.5,360,11.5,600,19.1,447,14.2,61,1.9,396,31.8,330,26.5,292,25.3,502,43.6
0900537280,Harwinton,5283,5618,-335,-6.3,5499,119,2.1,2053,100,289,14.1,816,39.7,727,35.4,90,4.4,131,6.4,538,9.8,739,13.4,359,6.5,464,8.4,715,13,1062,19.3,721,13.1,623,11.3,278,5.1,712,33.7,565,26.7,652,31.8,772,37.6
0900540290,Kent,2858,2982,-124,-4.3,2970,12,0.4,1252,100,431,34.4,465,37.1,218,17.4,35,2.8,103,8.2,139,4.7,275,9.3,291,9.8,232,7.8,304,10.2,444,14.9,665,22.4,281,9.5,339,11.4,282,22.7,398,32.1,170,13.6,563,45
0900543370,Litchfield,8316,8484,-168,-2,8161,323,3.8,3332,100,910,27.3,1245,37.4,769,23.1,167,5,241,7.2,640,7.8,725,8.9,939,11.5,611,7.5,917,11.2,1205,14.8,1515,18.6,949,11.6,660,8.1,1062,31.5,939,27.8,721,21.6,1552,46.6
0900549460,Morris,2301,2411,-110,-4.8,2149,262,10.9,846,100,272,32.2,257,30.4,236,27.9,69,8.2,12,1.4,204,9.5,238,11.1,191,8.9,246,11.4,297,13.8,276,12.8,328,15.3,293,13.6,76,3.5,264,27.4,267,27.7,217,25.7,364,43
0900551350,New Hartford,6088,6901,-813,-13.4,6685,216,3.1,2620,100,725,27.7,820,31.3,826,31.5,131,5,118,4.5,715,10.7,1159,17.3,288,4.3,808,12.1,858,12.8,1204,18,967,14.5,511,7.6,175,2.6,854,32.4,714,27.1,832,31.8,802,30.6
0900552630,New Milford,27121,28122,-1001,-3.7,28074,48,0.2,10656,100,2307,21.6,3477,32.6,3313,31.1,918,8.6,641,6,3229,11.5,3576,12.7,2990,10.7,3543,12.6,3051,10.9,4657,16.6,4136,14.7,2077,7.4,815,2.9,3905,36.3,2155,20,3437,32.3,3048,28.6
0900553470,Norfolk,1660,1574,86,5.2,1685,-111,-7.1,681,100,180,26.4,268,39.4,156,22.9,31,4.6,46,6.8,172,10.2,167,9.9,122,7.2,162,9.6,173,10.3,259,15.4,323,19.2,219,13,88,5.2,199,32.1,201,32.4,168,24.7,308,45.2
0900554030,North Canaan,3350,3329,21,0.6,3209,120,3.6,1244,100,512,41.2,229,18.4,279,22.4,140,11.3,84,6.8,231,7.2,528,16.5,191,6,458,14.3,518,16.1,357,11.1,456,14.2,255,7.9,215,6.7,366,26.1,575,41,360,28.9,416,33.4
0900560750,Plymouth,11634,12218,-584,-5,11705,513,4.2,4734,100,1472,31.1,1319,27.9,1314,27.8,329,6.9,300,6.3,1045,8.9,1127,9.6,1569,13.4,1299,11.1,1315,11.2,2403,20.5,1858,15.9,689,5.9,400,3.4,1684,36.1,1086,23.3,962,20.3,1310,27.7
0900565930,Roxbury,2136,2315,-179,-8.4,2104,211,9.1,944,100,296,31.4,265,28.1,219,23.2,35,3.7,129,13.7,146,6.9,238,11.3,117,5.6,176,8.4,248,11.8,390,18.5,380,18.1,326,15.5,83,3.9,227,23.1,354,36,196,20.8,447,47.4
0900566420,Salisbury,3977,3783,194,4.9,4048,-265,-7,1493,100,483,32.4,548,36.7,237,15.9,183,12.3,42,2.8,465,11.5,450,11.1,237,5.9,384,9.5,448,11.1,485,12,620,15.3,623,15.4,336,8.3,478,32,519,34.8,385,25.8,871,58.3
0900567960,Sharon,2968,2804,164,5.5,2679,125,4.5,1281,100,499,39,502,39.2,175,13.7,60,4.7,45,3.5,133,5,215,8,238,8.9,430,16.1,195,7.3,342,12.8,633,23.6,435,16.2,58,2.2,261,20.9,498,39.8,179,14,616,48.1
0900575730,Thomaston,7503,7862,-359,-4.8,7497,365,4.6,3071,100,892,29,879,28.6,899,29.3,203,6.6,198,6.4,869,11.6,951,12.7,692,9.2,933,12.4,996,13.3,1143,15.2,1159,15.5,518,6.9,236,3.1,970,29.9,825,25.4,823,26.8,940,30.6
0900576570,Torrington,35202,36380,-1178,-3.3,35447,933,2.6,14389,100,4627,32.2,4164,28.9,3505,24.4,1013,7,1080,7.5,3322,9.4,3564,10.1,4808,13.6,3919,11.1,4053,11.4,5904,16.7,5385,15.2,2562,7.2,1930,5.4,4508,29,4154,26.7,3420,23.8,4837,33.6
0900579510,Warren,1254,1531,-277,-22.1,1383,148,9.7,552,100,104,18.8,249,45.1,94,17,80,14.5,25,4.5,100,7.2,208,15,123,8.9,87,6.3,149,10.8,242,17.5,248,17.9,131,9.5,95,6.9,197,33.1,158,26.5,163,29.5,237,42.9
0900579720,Washington,3596,3586,10,0.3,3619,-33,-0.9,1423,100,380,26.7,424,29.8,451,31.7,53,3.7,115,8.1,300,8.3,464,12.8,343,9.5,360,9.9,391,10.8,436,12,607,16.8,526,14.5,192,5.3,363,24.9,434,29.8,410,28.8,682,47.9
