Code,Litchfield County,Barkhamsted,Bethlehem,Bridgewater,Canaan,Colebrook,Cornwall,Goshen,Harwinton,Kent,Litchfield,Morris,New Hartford,New Milford,Norfolk,North Canaan,Plymouth,Roxbury,Salisbury,Sharon,Thomaston,Torrington,Warren,Washington,Watertown,Winchester,Woodbury
POP001v00,182193,3494,3422,1824,1081,1471,1434,2697,5283,2858,8316,2301,6088,27121,1660,3350,11634,2136,3977,2968,7503,35202,1254,3596,21661,10664,9198
POP001v10,189927,3799,3607,1727,1234,1485,1420,2976,5642,2979,8466,2388,6970,28142,1709,3315,12243,2262,3741,2782,7887,36383,1461,3578,22514,11242,9975
POP001c10,-7734,-305,-185,97,-153,-14,14,-279,-359,-121,-150,-87,-882,-1021,-49,35,-609,-126,236,186,-384,-1181,-207,18,-853,-578,-777
POP001pc10,-4.2,-8.7,-5.4,5.3,-14.2,-1,1,-10.3,-6.8,-4.2,-1.8,-3.8,-14.5,-3.8,-3,1,-5.2,-5.9,5.9,6.3,-5.1,-3.4,-16.5,0.5,-3.9,-5.4,-8.4
POP001v20,185186,3647,3385,1662,1080,1361,1567,3150,5484,3019,8192,2256,6658,28115,1588,3211,11671,2260,4194,2680,7442,35515,1351,3646,22105,10224,9723
POP001c20,4741,152,222,65,154,124,-147,-174,158,-40,274,132,312,27,121,104,572,2,-453,102,445,868,110,-68,409,1018,252
POP001pc20,2.5,4,6.2,3.8,12.5,8.4,-10.4,-5.8,2.8,-1.3,3.2,5.5,4.5,0.1,7.1,3.1,4.7,0.1,-12.1,3.7,5.6,2.4,7.5,-1.9,1.8,9.1,2.5
HHS000v21,74857,1341,1340,723,553,598,629,1152,2053,1252,3332,846,2620,10656,681,1244,4734,944,1493,1281,3071,14389,552,1423,8735,4714,4501
HHS000p21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
HHS001v21,21306,163,422,143,136,147,173,280,289,431,910,272,725,2307,180,512,1472,296,483,499,892,4627,104,380,2372,1669,1422
HHS001p21,28.5,12.2,31.5,19.8,24.6,24.6,27.5,24.3,14.1,34.4,27.3,32.2,27.7,21.6,26.4,41.2,31.1,31.4,32.4,39,29,32.2,18.8,26.7,27.2,35.4,31.6
HHS002v21,24195,621,491,286,181,214,277,420,816,465,1245,257,820,3477,268,229,1319,265,548,502,879,4164,249,424,2732,1320,1726
HHS002p21,32.3,46.3,36.6,39.6,32.7,35.8,44,36.5,39.7,37.1,37.4,30.4,31.3,32.6,39.4,18.4,27.9,28.1,36.7,39.2,28.6,28.9,45.1,29.8,31.3,28,38.3
HHS003v21,19975,473,276,224,167,158,121,327,727,218,769,236,826,3313,156,279,1314,219,237,175,899,3505,94,451,2746,1096,969
HHS003p21,26.7,35.3,20.6,31,30.2,26.4,19.2,28.4,35.4,17.4,23.1,27.9,31.5,31.1,22.9,22.4,27.8,23.2,15.9,13.7,29.3,24.4,17,31.7,31.4,23.2,21.5
HHS004v21,4798,60,126,28,10,14,20,111,90,35,167,69,131,918,31,140,329,35,183,60,203,1013,80,53,549,184,159
HHS004p21,6.4,4.5,9.4,3.9,1.8,2.3,3.2,9.6,4.4,2.8,5,8.2,5,8.6,4.6,11.3,6.9,3.7,12.3,4.7,6.6,7,14.5,3.7,6.3,3.9,3.5
HHS005v21,4583,24,25,42,59,65,38,14,131,103,241,12,118,641,46,84,300,129,42,45,198,1080,25,115,336,445,225
HHS005p21,6.1,1.8,1.9,5.8,10.7,10.9,6,1.2,6.4,8.2,7.2,1.4,4.5,6,6.8,6.8,6.3,13.7,2.8,3.5,6.4,7.5,4.5,8.1,3.8,9.4,5
AGE001v21,16845,240,233,102,93,132,101,324,538,139,640,204,715,3229,172,231,1045,146,465,133,869,3322,100,300,1828,889,655
AGE001p21,9.1,6.6,6.8,5.6,7.6,9.3,7.3,10.3,9.8,4.7,7.8,9.5,10.7,11.5,10.2,7.2,8.9,6.9,11.5,5,11.6,9.4,7.2,8.3,8.3,8.6,6.7
AGE002v21,20665,564,583,170,94,136,137,287,739,275,725,238,1159,3576,167,528,1127,238,450,215,951,3564,208,464,2331,724,1015
AGE002p21,11.2,15.4,17.1,9.3,7.7,9.6,9.9,9.1,13.4,9.3,8.9,11.1,17.3,12.7,9.9,16.5,9.6,11.3,11.1,8,12.7,10.1,15,12.8,10.5,7,10.4
AGE003v21,19371,287,299,139,119,141,84,364,359,291,939,191,288,2990,122,191,1569,117,237,238,692,4808,123,343,2553,982,905
AGE003p21,10.5,7.8,8.8,7.6,9.7,9.9,6.1,11.6,6.5,9.8,11.5,8.9,4.3,10.7,7.2,6,13.4,5.6,5.9,8.9,9.2,13.6,8.9,9.5,11.5,9.5,9.3
AGE004v21,20705,248,223,114,115,114,88,430,464,232,611,246,808,3543,162,458,1299,176,384,430,933,3919,87,360,2784,1623,854
AGE004p21,11.2,6.8,6.5,6.2,9.4,8,6.4,13.7,8.4,7.8,7.5,11.4,12.1,12.6,9.6,14.3,11.1,8.4,9.5,16.1,12.4,11.1,6.3,9.9,12.6,15.7,8.7
AGE005v21,21050,500,342,216,89,179,118,266,715,304,917,297,858,3051,173,518,1315,248,448,195,996,4053,149,391,2810,887,1015
AGE005p21,11.4,13.7,10,11.8,7.3,12.6,8.6,8.5,13,10.2,11.2,13.8,12.8,10.9,10.3,16.1,11.2,11.8,11.1,7.3,13.3,11.4,10.8,10.8,12.7,8.6,10.4
AGE006v21,29766,660,561,309,293,306,286,360,1062,444,1205,276,1204,4657,259,357,2403,390,485,342,1143,5904,242,436,3482,1383,1317
AGE006p21,16.1,18,16.5,16.9,24,21.5,20.7,11.5,19.3,14.9,14.8,12.8,18,16.6,15.4,11.1,20.5,18.5,12,12.8,15.2,16.7,17.5,12,15.7,13.4,13.5
AGE007v21,29766,602,745,292,253,245,307,600,721,665,1515,328,967,4136,323,456,1858,380,620,633,1159,5385,248,607,2802,1978,1941
AGE007p21,16.1,16.5,21.9,16,20.7,17.2,22.3,19.1,13.1,22.4,18.6,15.3,14.5,14.7,19.2,14.2,15.9,18.1,15.3,23.6,15.5,15.2,17.9,16.8,12.7,19.1,19.9
AGE008v21,17328,460,284,363,117,106,172,447,623,281,949,293,511,2077,219,255,689,326,623,435,518,2562,131,526,1907,1039,1415
AGE008p21,9.4,12.6,8.3,19.9,9.6,7.5,12.5,14.2,11.3,9.5,11.6,13.6,7.6,7.4,13,7.9,5.9,15.5,15.4,16.2,6.9,7.2,9.5,14.5,8.6,10.1,14.5
AGE009v21,9679,98,138,119,50,63,86,61,278,339,660,76,175,815,88,215,400,83,336,58,236,1930,95,192,1613,830,645
AGE009p21,5.2,2.7,4,6.5,4.1,4.4,6.2,1.9,5.1,11.4,8.1,3.5,2.6,2.9,5.2,6.7,3.4,3.9,8.3,2.2,3.1,5.4,6.9,5.3,7.3,8,6.6
AGB001v11,23947,502,418,176,108,179,188,396,712,282,1062,264,854,3905,199,366,1684,227,478,261,970,4508,197,363,2939,1507,1202
AGB001p11,31.3,34.8,29.8,23.4,18.2,31.5,30.4,31.8,33.7,22.7,31.5,27.4,32.4,36.3,32.1,26.1,36.1,23.1,32,20.9,29.9,29,33.1,24.9,34,32.6,28.4
AGC001v11,21105,348,468,285,211,156,201,330,565,398,939,267,714,2155,201,575,1086,354,519,498,825,4154,158,434,2710,1318,1236
AGC001p11,27.6,24.1,33.4,37.8,35.5,27.4,32.5,26.5,26.7,32.1,27.8,27.7,27.1,20,32.4,41,23.3,36,34.8,39.8,25.4,26.7,26.5,29.8,31.4,28.5,29.2
AGB001v21,18598,451,315,148,92,149,104,292,652,170,721,217,832,3437,168,360,962,196,385,179,823,3420,163,410,2207,896,849
AGB001p21,24.8,33.6,23.5,20.5,16.6,24.9,16.5,25.3,31.8,13.6,21.6,25.7,31.8,32.3,24.7,28.9,20.3,20.8,25.8,14,26.8,23.8,29.5,28.8,25.3,19,18.9
AGC001v21,27685,546,469,369,202,188,288,502,772,563,1552,364,802,3048,308,416,1310,447,871,616,940,4837,237,682,3416,1913,2027
AGC001p21,37,40.7,35,51,36.5,31.4,45.8,43.6,37.6,45,46.6,43,30.6,28.6,45.2,33.4,27.7,47.4,58.3,48.1,30.6,33.6,42.9,47.9,39.1,40.6,45
