"GEOID","GeoName","County","AH002_2018","AH003_2018","AH004_2018","AH005_2018","AH006_2018","AH007_2018","AH008_2018","AH009_2018","AH010_2018","BD009_2018","BD010_2018","BD011_2018","BD012_2018","BD013_2018","BD014_2018","BD016_2018","BD017_2018","BD018_2018","BD019_2018","BD020_2018","BD021_2018","FO001_2013","FO001_2014","FO001_2015","FO001_2016","FO001_2017","FO001_2018","HH002_2018","HH003_2018","HH004_2018","HH005_2018","HT003_2018","HT006_2018","HT004_2018","HT007_2018","HT005_2018","HT008_2018","HC001_2018","HC002_2018","HC003_2018","HC004_2018","HC005_2018","HC006_2018","HC007_2018","HC008_2018","HC009_2018","HC010_2018","HC011_2018","HC012_2018","HC013_2018","HC014_2018","HC015_2018","HC016_2018","HC017_2018","HC018_2018","HC019_2018","HC020_2018","HV018_2013","HV018_2018","HV019_2013","HV019_2018","HV020_2013","HV020_2018","HV018_2000","HV019_2000","HV020_2000","RE001_2018","RE002_2018","RE003_2018","RE004_2018","RE005_2018","RH001_2018","RH002_2018","RH003_2018","UN002_2018","UN003_2018","UN004_2018","UN005_2018","PH001_2018","PH001_change","PH002_2018","PH002_change","PH003_2018","PH003_change","PH004_2018","PH004_change","PH005_2018","PH005_change","PH006_2018","PH006_change","RH004_2018","RH005_2018","RH006_2018","RH007_2018","RH008_2013","RH008_2018","RH009_2013","RH009_2018","RH010_2013","RH010_2018","FS001_2019","FS002_2019","FS003_2019","FS004_2019","FS005_2019","FS006_2019","FS007_2019","SS001_2019","SS002_2019","SS003_2019","SS004_2019","SS005_2019","GS001_2018","GS002_2018","GS004_2018","GS005_2018","LABEL","HP002","HP003","HP004","HP005","GMAP"
"35004","Long Island",NA,14313,60263,63707,81369,133383,178254,277721,90813,147174,2630,22071,86416,315160,242546,81375,12249,55712,54738,39723,15312,5566,NA,NA,NA,NA,NA,NA,0.9,24.5,45.7,29,113499,10.8,750198,71.7,183300,17.5,5557,51715,24210,10611,10493,18582,14682,7324,37079,3062,6630,73283,56870,20162,34480,53847,45583,44252,369679,69026,348100,326300,450400,431000,628900,618000,237000,328100,401000,64.6,9.1,6.4,17.8,0.1,53336,103331,1716,857404,183400,81.8,17.5,2844465,4897,933498,-5804,2.99,0.02,74.9,-1.1,3.49,0.06,21.1,1,1153,1420,1776,2097,1080,1145,1470,1573,1931,1985,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,80.4,19.6,70.2,58.1,NA,NA,NA,NA,NA,NA
"3602044","Amityville","Suffolk",33,436,115,306,499,180,1005,198,831,0,149,537,900,611,228,30,415,339,212,0,0,13375,16905,16633,16441,12711,9783,1.3,22,46.9,29.8,182,5.1,2425,67.3,996,27.6,31,360,31,13,35,95,60,28,277,0,14,232,198,31,122,161,126,157,1186,251,331500,329100,409700,398800,523200,520200,234300,295600,396500,73.6,11,1.2,13.1,0.1,51250,100690,1536,2633,970,73.1,27.1,9452,-73,3421,-59,2.62,0.05,68.3,3,3.17,-0.03,25.6,-3.7,NA,1374,1798,1815,917,1112,1199,1418,1744,1802,0,51,0,0,0,0,51,0,0,0,0,0,70.9,29.1,73.3,56,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","136, 12, 0, 0, 0, 0, 1, 1, 1, 0, 4, 0, 6","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 61, 6, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0","1d24208.61874430722!2d-73.43295552609379!3d40.67226477685894!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e9d4e4628ee159%3A0x6282eade0c020be2!2sAmityville%2C%20NY%2011701!5e0!3m2!1sen!2sus!4v1599090097209!5m2!1sen!2sus"
"3602737","Asharoken","Suffolk",12,33,25,24,46,23,44,26,71,0,3,11,46,49,41,0,0,0,9,14,0,13375,16905,16633,16441,12711,9783,0,12.1,47.4,40.5,131,43.1,150,49.3,23,7.6,0,0,3,0,0,0,0,2,11,0,0,15,3,3,0,0,6,12,98,16,1057100,965000,1078800,1173500,1078800,1595000,645800,855400,1090600,94.8,0,1.8,2,0.7,-666666666,245417,3501,304,0,100,0,443,-167,173,-51,2.56,-0.16,74.6,-6.7,3.02,-0.02,23.7,8.5,NA,NA,NA,NA,2159,2825,2159,3375,2159,3501,0,0,0,0,0,0,0,0,0,0,0,0,86.7,13.3,51.9,15.4,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","3, 1, 4, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d24112.099146334553!2d-73.40457147202389!3d40.937395575698794!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e826b11ff42005%3A0xd5fac26d5405276!2sAsharoken%2C%20NY%2011768!5e0!3m2!1sen!2sus!4v1598931439381!5m2!1sen!2sus"
"3602968","Atlantic Beach","Nassau",7,29,61,55,70,57,277,103,251,0,0,45,260,131,68,0,21,34,31,8,3,7786,10899,11766,8916,3510,3579,0,11.5,53.1,35.4,309,34,504,55.4,97,10.7,0,0,8,8,10,29,0,0,39,6,0,44,42,15,4,60,16,11,285,41,548000,529400,778400,759100,1078800,951200,412400,568800,831800,90.7,1.5,1.5,4,1.1,113036,139250,2817,851,59,93.5,6.4,1398,-249,601,-95,2.33,0.01,72.2,5.7,2.78,-0.07,24.6,-2,NA,1523,3000,2908,1276,1482,1713,2367,2159,3111,0,3,0,0,0,0,3,0,0,0,0,0,83.9,16.1,75.6,46.7,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","0, 0, 2, 0, 2, 3, 2, 3","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0","1d12119.737105738266!2d-73.738861158276!3d40.587206119529284!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c26f44c8110b9f%3A0xd497e9e5b27499b4!2sAtlantic%20Beach%2C%20NY!5e0!3m2!1sen!2sus!4v1599082332377!5m2!1sen!2sus"
"3603408","Babylon (Village)","Suffolk",156,103,95,249,509,569,1293,378,1318,10,120,511,1381,956,354,120,403,256,146,49,18,13375,16905,16633,16441,12711,9783,0.3,26.6,48.6,24.4,346,7.4,3332,71.3,992,21.2,0,210,76,33,59,122,35,27,390,0,11,288,229,76,100,226,178,133,1854,306,378800,358300,477800,458400,631400,626300,245100,306100,418600,82.9,0.6,2.8,8,0,71071,127411,1877,3631,1031,77.7,22,12089,-86,4324,-197,2.79,0.12,72.2,4.8,3.3,0.04,20.8,-3.4,1375,1793,1929,2283,1112,1419,1436,1756,1902,2120,0,15,0,0,0,0,15,0,0,0,0,0,77.1,22.9,62.4,47.3,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","5, 9, 15, 1, 1, 1, 8, 9, 10, 13, 8, 5, 2","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d24201.192482981554!2d-73.34550457606417!3d40.69271466673065!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e9d33bf97b8287%3A0xdecbb9582c5c4b38!2sBabylon%2C%20NY!5e0!3m2!1sen!2sus!4v1599082459744!5m2!1sen!2sus"
"3604143","Baldwin","Nassau",11,113,70,225,319,925,1798,1330,3384,18,208,587,3132,2189,533,101,333,404,285,94,10,7786,10899,11766,8916,3510,3579,0.4,27.3,48.5,23.9,281,3.4,6667,81.6,1227,15,109,417,109,69,0,183,44,69,172,0,34,473,660,160,143,555,394,356,3306,787,341100,315000,391100,373900,454700,446500,247200,283800,339000,33.8,34.6,3.4,25.2,0,35373,105888,1690,6843,1332,83.7,16.3,25134,1377,7894,397,3.18,0.02,80.2,-2.9,3.58,0.13,15.3,1.9,756,1101,2110,1830,974,894,1541,1476,1924,1843,NA,NA,NA,NA,NA,NA,NA,0,0,131,0,131,84.5,15.5,68.9,68.7,NA,NA,NA,NA,NA,"1d24212.03714527756!2d-73.62777452610744!3d40.66284858152138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c27b8464639c99%3A0x17629ccbf98966bf!2sBaldwin%2C%20NY!5e0!3m2!1sen!2sus!4v1599082498930!5m2!1sen!2sus"
"3604803","Baxter Estates","Nassau",4,7,16,2,21,86,60,62,243,3,25,48,88,95,27,24,80,37,8,16,0,7786,10899,11766,8916,3510,3579,0,25.7,36.8,37.5,50,10,286,57.1,165,32.9,3,52,25,22,3,15,14,3,41,3,5,41,25,10,0,20,7,4,152,35,533600,593800,788500,816700,993600,1031300,532400,685600,918200,66.2,1,13.3,18.1,0,47212,115417,1601,281,220,56.1,44,1065,180,451,90,2.36,-0.09,64.1,4.5,2.88,-0.47,30.8,-4.7,1417,1556,1478,3500,1312,1217,1559,1448,1987,1922,0,0,0,0,0,0,0,0,0,0,0,0,63.4,36.6,82.3,61.6,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d12074.951928861768!2d-73.70368870908665!3d40.833718554251135!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c28f2b61a3afa9%3A0x306dce8f3203ae64!2sBaxter%20Estates%2C%20NY%2011050!5e0!3m2!1sen!2sus!4v1599082518056!5m2!1sen!2sus"
"3604935","Bay Shore","Suffolk",73,537,757,879,988,1861,2296,608,1652,0,236,769,2759,1579,433,191,1283,819,569,337,106,13375,16905,16633,16441,12711,9783,0.6,28.5,48.8,22.1,570,5.9,5776,59.8,3305,34.2,94,1451,334,238,264,405,233,58,348,16,0,538,396,230,241,635,515,332,2699,409,270800,263500,354100,324300,428500,424600,181800,216000,269200,34.3,19.5,3.7,40.7,0,37644,76808,1504,6858,2640,71.1,27.3,30685,2320,9081,-410,3.35,0.39,73.5,8.2,3.9,0.15,21.4,-8.1,1210,1293,1614,1840,1069,1034,1323,1386,1591,1767,NA,NA,NA,NA,NA,NA,NA,36,0,149,0,185,63.6,36.4,75.4,70.6,NA,NA,NA,NA,NA,"1d48377.33436064421!2d-73.28925188286227!3d40.72718670390256!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e8328abe3c397d%3A0xc9e21d009087f982!2sBay%20Shore%2C%20NY!5e0!3m2!1sen!2sus!4v1599082548344!5m2!1sen!2sus"
"3605034","Bayville","Nassau",28,86,70,205,438,552,500,202,624,0,0,247,874,678,239,31,183,139,63,46,0,7786,10899,11766,8916,3510,3579,0.4,17.2,49.2,33.2,205,7.6,2038,75.3,462,17.1,39,90,71,42,51,28,9,0,185,0,38,122,108,33,99,259,202,74,1001,122,460400,425800,610500,536200,790900,701000,338200,424900,559700,90.1,0.3,1,5.6,0.4,67833,105469,1545,2375,330,87.8,12.2,6708,7,2500,42,2.66,-0.03,75.3,1.5,3.16,-0.07,23,0.3,NA,642,2042,2174,1039,1010,1527,1438,2159,1847,0,12,0,0,0,0,12,0,0,0,0,0,81.5,18.5,66.3,36.1,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","0, 1, 0, 4, 2, 0, 0, 0, 0, 0, 12, 3, 3","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 8, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d48246.01953435733!2d-73.59065383180418!3d40.90749612244248!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c29b5ecde28381%3A0xfd21a434e2632fb1!2sBayville%2C%20NY%2011709!5e0!3m2!1sen!2sus!4v1599082566864!5m2!1sen!2sus"
"3605672","Belle Terre","Suffolk",9,23,10,32,53,82,20,5,41,0,0,5,54,108,73,0,0,0,2,5,3,13375,16905,16633,16441,12711,9783,0,15.6,50.8,33.6,25,9.1,240,87.3,10,3.6,0,0,3,0,0,0,0,4,0,0,0,3,9,0,4,13,11,15,151,31,717300,646100,940200,866700,1078800,1507800,523900,675700,948100,86.8,2.6,5,4.3,0,-666666666,205000,-666666666,273,2,99.3,0.7,681,-155,250,-27,2.72,-0.3,82.8,-1.7,3.02,-0.3,15.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,96,4,57.8,100,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","1, 2, 1, 1, 1, 1, 0, 0, 0, 2, 0, 1, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d24103.69916162611!2d-73.08673557567518!3d40.96040263383219!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e840141034daf3%3A0x4a6fdc66bde4db98!2sBelle%20Terre%2C%20NY%2011777!5e0!3m2!1sen!2sus!4v1599082596505!5m2!1sen!2sus"
